受検No.,年齢,性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア
26021806,21,1,48.1,46.5,49.4,51.0,53.8,40.5,46.2,47.7,46.5,49.4,37.1,50.3,43.5,44.7,57.1,42.9,41.1,45.9,41.9,50.6,44.8,51.8,58.1,46.9,55.9,49.6,45.7,49.3,54.8,52.8,43.0,48.8,43.6,51.1,46.2,44.0,40.3,42.3
26021911,23,1,54.1,59.4,65.0,46.6,53.8,48.6,54.0,59.8,56.3,54.3,57.0,55.7,56.8,57.1,57.1,59.1,45.7,42.0,62.5,50.6,60.1,50.7,44.2,46.9,51.5,53.9,53.8,54.2,54.8,47.8,56.4,53.3,61.6,57.3,51.7,63.8,60.1,62.0
26022002,22,0,39.7,48.3,67.9,49.7,57.9,43.4,57.9,52.1,56.3,49.4,44.2,45.0,55.6,53.0,64.5,59.1,59.5,42.0,54.3,50.6,48.6,54.8,48.9,57.8,51.5,53.9,53.8,54.2,60.4,42.8,56.4,53.3,59.4,54.2,51.7,63.8,60.1,57.1
26022106,22,0,33.3,56.6,49.1,54.4,61.9,62.8,69.7,49.9,49.0,44.5,47.3,61.0,35.2,44.7,34.8,34.9,32.0,45.9,29.6,56.9,44.8,45.0,62.8,63.2,33.6,32.2,49.8,62.5,60.4,62.8,65.3,48.8,46.3,60.5,51.7,40.0,40.3,32.5
26022502,21,0,52.2,42.1,53.5,57.7,57.9,59.1,57.9,47.7,53.9,64.1,69.8,53.0,51.4,44.7,57.1,55.0,41.1,49.7,54.3,56.9,48.6,53.7,62.8,46.9,55.9,45.2,53.8,60.8,60.4,62.8,56.4,53.3,55.3,54.2,51.7,63.8,45.2,52.2
26022505,21,1,49.9,54.3,51.4,52.0,57.9,44.2,50.1,39.0,36.7,61.6,63.1,50.3,60.4,48.9,46.0,67.2,59.5,49.7,54.3,56.9,67.8,41.6,48.9,36.0,42.6,45.2,49.8,34.5,32.3,42.8,38.6,39.7,52.3,51.1,57.2,51.9,45.2,47.3
26022509,21,1,55.3,55.8,68.9,60.1,47.8,54.6,54.0,49.9,62.5,55.1,52.4,58.3,69.7,65.3,64.5,71.2,64.1,49.7,54.3,63.2,67.8,56.0,48.9,52.3,51.5,58.3,57.9,54.2,43.5,52.8,60.9,53.3,59.4,54.2,51.7,59.8,60.1,62.0
26022510,21,1,41.2,45.4,54.3,44.9,63.9,56.1,57.9,43.4,40.4,60.8,64.7,63.7,42.5,36.5,38.5,38.9,36.6,65.0,41.9,56.9,44.8,47.2,53.5,52.3,55.9,45.2,33.6,52.6,60.4,47.8,47.5,53.3,36.4,38.5,35.2,40.0,50.2,47.3
26022513,21,0,58.4,53.2,52.2,50.1,63.9,50.1,65.8,49.9,52.6,64.1,53.4,61.0,60.0,44.7,53.4,59.1,68.7,57.3,58.4,56.9,52.4,49.9,53.5,46.9,51.5,45.2,53.8,59.2,49.2,57.8,60.9,57.9,59.8,57.3,57.2,55.9,60.1,52.2
26022701,21,0,49.5,54.1,52.4,46.4,63.9,56.1,46.2,41.2,63.7,61.6,51.4,55.7,62.5,61.2,46.0,71.2,73.3,61.2,58.4,38.1,52.4,59.8,53.5,63.2,55.9,49.6,61.9,54.2,43.5,52.8,65.3,48.8,67.5,57.3,68.1,63.8,60.1,57.1
