性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア,label
1,64.8,44.2,43.4,61.5,31.0,46.1,48.5,46.2,44.1,38.4,41.8,37.3,63.9,67.7,54.5,66.2,69.0,45.4,57.0,50.7,62.1,47.3,44.7,50.2,41.6,53.9,50.6,55.1,48.3,54.7,58.1,54.3,54.6,59.0,52.5,51.9,48.5,48.8,0
1,62.7,50.8,50.5,54.6,48.5,31.8,52.3,46.2,24.7,56.0,33.8,42.6,46.4,42.6,50.7,45.6,45.0,37.0,52.8,56.7,50.3,44.5,48.5,35.3,54.5,45.1,46.8,44.2,57.8,44.7,31.1,49.5,47.6,48.1,41.4,55.9,52.7,48.8,0
1,46.2,62.4,47.3,48.0,62.2,31.8,48.5,35.5,38.4,55.3,53.2,68.9,37.7,38.4,65.7,41.5,40.2,32.8,40.2,50.7,30.7,49.4,52.4,45.3,54.5,45.1,50.6,44.2,57.8,49.7,40.1,35.0,49.2,61.7,41.4,43.8,56.9,39.6,0
0,55.5,63.3,56.3,58.5,60.2,45.4,52.3,46.2,49.8,56.7,51.2,66.2,45.3,42.6,47.0,58.0,49.8,37.0,52.8,50.7,38.5,40.7,48.5,45.3,33.0,49.5,43.0,50.4,43.6,54.7,49.1,54.3,47.8,50.8,41.4,51.9,52.7,48.8,0
1,30.9,36.2,56.3,47.0,40.7,37.5,44.6,44.0,45.3,38.4,36.3,58.3,44.3,42.6,50.7,45.6,45.0,41.2,52.8,50.7,42.5,48.7,48.5,45.3,54.5,49.5,46.8,41.0,48.3,44.7,40.1,39.8,49.1,59.0,41.4,51.9,48.5,44.2,0
1,52.5,48.3,36.7,43.1,62.2,44.7,52.3,43.0,52.1,42.6,42.8,47.8,45.3,42.6,54.5,45.6,35.5,53.9,48.6,56.7,38.5,52.5,52.4,50.2,54.5,53.9,46.8,48.9,48.3,49.7,53.6,44.6,49.9,53.6,41.4,51.9,48.5,58.0,0
0,44.5,52.7,46.2,48.7,39.8,49.4,38.3,41.2,50.2,42.0,51.4,39.6,46.0,53.0,49.7,47.0,45.7,57.3,37.8,44.4,44.8,39.3,39.6,46.9,29.2,49.6,49.8,39.4,37.9,37.8,43.0,48.8,44.6,26.0,68.1,47.9,40.3,42.3,0
0,57.3,42.1,55.6,52.6,71.3,57.8,74.4,55.6,56.0,67.0,70.3,42.8,51.3,43.9,57.3,56.4,45.8,53.4,52.1,43.7,54.2,53.3,41.3,61.2,40.6,60.8,56.8,65.7,57.4,61.5,62.1,60.6,39.2,29.0,43.2,51.7,56.2,53.5,0
0,59.1,40.1,41.3,53.8,56.3,61.9,52.3,55.8,43.0,43.3,33.8,47.8,55.3,42.6,69.4,58.0,30.7,53.9,65.4,56.7,50.3,59.1,48.5,50.2,58.7,67.1,54.4,44.2,53.1,39.7,40.1,49.5,53.9,61.7,35.8,55.9,56.9,58.0,0
1,58.8,32.4,52.8,57.3,37.8,43.4,65.8,52.1,53.9,31.4,48.8,42.3,62.3,53.0,57.1,67.2,68.7,61.2,50.2,56.9,48.6,58.2,58.1,52.3,55.9,53.9,57.9,54.2,43.5,47.8,65.3,53.3,54.5,47.9,62.7,51.9,50.2,47.3,0
1,57.2,50.7,42.0,52.9,46.6,58.3,48.5,50.4,40.7,53.9,28.9,50.5,43.1,42.6,50.7,41.5,59.4,53.9,52.8,32.7,34.6,50.1,48.5,50.2,58.7,45.1,46.8,36.3,48.3,39.7,35.6,35.0,50.3,64.4,41.4,47.8,48.5,44.2,0
0,21.4,45.0,49.8,57.6,54.6,52.0,50.3,57.4,56.0,43.2,56.7,47.0,65.5,66.3,36.2,70.0,60.4,48.9,69.3,58.2,54.2,57.0,41.3,61.2,46.0,55.6,67.8,65.7,57.4,67.0,51.4,65.3,62.6,39.6,71.8,61.5,60.9,58.4,0
1,25.9,31.1,47.1,37.4,58.8,50.1,54.3,48.4,59.8,56.4,41.5,38.7,31.9,43.9,20.4,38.2,45.8,44.3,52.1,21.8,47.9,53.3,60.8,55.6,56.7,45.1,40.4,49.6,57.4,39.5,46.0,55.8,54.2,63.5,51.4,46.7,42.4,48.6,0
1,42.7,48.9,47.6,53.3,48.5,44.7,52.3,45.1,37.3,39.1,48.7,50.5,44.7,46.8,43.3,45.6,54.6,45.4,40.2,50.7,46.4,50.8,44.7,45.3,63.0,53.9,43.0,55.1,62.5,54.7,44.6,54.3,49.0,56.3,41.4,51.9,48.5,48.8,0
1,56.2,51.2,59.8,20.4,54.6,42.3,38.3,50.2,44.6,58.2,43.2,38.7,55.5,48.4,52.1,60.9,55.5,48.9,57.9,50.9,47.9,40.3,46.2,38.7,51.3,39.9,45.9,43.6,45.2,45.0,40.6,51.1,48.6,52.9,43.2,54.1,47.0,48.6,0
1,60.2,39.5,60.3,27.7,42.0,27.8,48.3,52.0,40.8,43.2,37.6,30.4,37.6,43.9,31.0,47.3,45.8,44.3,57.9,21.8,47.9,40.3,51.1,38.7,56.7,39.9,34.9,29.5,39.0,45.0,35.2,27.5,32.6,42.3,39.1,36.8,47.0,34.1,0
